sku,name,price,description,is_in_stock,ADVERTISER CATEGORY
YOGAFLOP.BLUE-9,YOGAFLOPS (By Rider)-9,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-10,YOGAFLOPS (By Rider)-10,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-5,YOGAFLOPS (By Rider)-5,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-6,YOGAFLOPS (By Rider)-6,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-7,YOGAFLOPS (By Rider)-7,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-8,YOGAFLOPS (By Rider)-8,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-9,YOGAFLOPS (By Rider)-9,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-10,YOGAFLOPS (By Rider)-10,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-5,YOGAFLOPS (By Rider)-5,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-6,YOGAFLOPS (By Rider)-6,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-7,YOGAFLOPS (By Rider)-7,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-8,YOGAFLOPS (By Rider)-8,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-9,YOGAFLOPS (By Rider)-9,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-10,YOGAFLOPS (By Rider)-10,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-5,YOGAFLOPS (By Rider)-5,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",0,yoga apparel
YOGAFLOP.PURPLE-6,YOGAFLOPS (By Rider)-6,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-7,YOGAFLOPS (By Rider)-7,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-8,YOGAFLOPS (By Rider)-8,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-9,YOGAFLOPS (By Rider)-9,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-10,YOGAFLOPS (By Rider)-10,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",0,yoga apparel
